Posición,Descripción ,Derechos,Tasa Estadísticas,Impuestos Internos,Anti-Dumping,IVA
8521.90.10,REPRODUCTOR DVD,0,0,0,0,21%
8521.90.10,GRABADORA DVD,0,0,0,0,21%
8521.10.90,LECTOR DE CINTA MAGNETICA,0,3,0,0,21%
8519.89.00,aparato de grabacion de sonido,20,3,0,0,21%
8519.89.00,KIT GRABACION SONIDO,20,3,0,0,21%
8519.81.90,APARATO DE GRABACION,20,3,0,0,21%
8519.81.90,BARRA DE SONIDO,20,3,19,0,21%
8519.30.00,BANDEJA GIRADISCOS,20,3,0,0,21%
8519.30.00,GIRADISCOS,20,3,0,0,21%
8518.90.90,PARTE DE MICROFONO,16,3,0,0,21%
8518.90.90,ASISTENTE DE ALTAVOZ,16,3,0,0,21%
8518.90.90,PARTES AURICULARES,16,3,0,0,21%
8518.50.00,AMPLIFICADOR,20,3,0,0,21%
8518.50.00,AMPLIFICADOR PARA GUITARRA,20,3,0,0,21%
8518.40.00,ALTOPARLANTES,20,3,0,0,21%
8518.30.00,AURICULARES,20,0,0,0,21%
8518.30.00,AURICULAR,35,3,0,0,21%
8518.30.00,AURICULAR,35,3,0,0,21%
8518.21.00,PARLANTES,20,3,0,0,21%
8518.21.00,JGO PARLANTES 2 UNID,20,3,0,0,21%
8518.21.00,HOME THEATER,20,3,0,0,21%
8518.10.90,SET MICROFONO CON SOPORTE,20,3,0,0,21%
8518.10.90,CABEZAL DE MICROFONO INAL.,20,3,0,0,21%
8518.10.90,MICROFONO,20,3,0,0,21%
8518.10.90,SET MICROFONOS INALAMBRICO Y ACCS,20,3,0,0,21%
8518.10.90,SOPORTE MICROFONO,20,3,0,0,21%
8517.79.00,PARTES Y ACC. APARATOS TRANS. DATOS,10.8,0,0,0,"10,50%"
8517.79.00,PARTES DE TELEFONIA CELULAR,10.8,0,0,0,"10,50%"
8517.79.00,PANTALLAS CELULAR,10,0,0,0,"10,50%"
8517.70.99,MALLA SMART WATCH,8,0,0,0,"10,50%"
8517.70.99,TELEF PARTES,8,3,0,0,"10,50%"
8517.70.99,PARTES TELEFONO CELULAR,8,0,0,0,"10,50%"
8517.70.99,ADAPTADORES P ROUTER,8,0,0,0,"10,50%"
8517.69.00,APTO DE EMIS TRANSM,14,3,0,0,"10,50%"
8517.69.00,APTO DE EMI TRANSM DATOS,14,3,0,0,"10,50%"
8517.69.00,APTO DE EMIS TRANSM DATOS,14,3,0,0,"10,50%"
8517.62.99,CONSOLA DE RED,20,3,0,0,21%
8517.62.99,APARATO DE TRANSMISION,20,3,0,0,21%
8517.62.99,LOS DEMAS. TRANSCEPTORES,20,3,0,0,21%
8517.62.99,KIT 4 UNID LOCALIZADOR AIRTAG,20,3,0,0,21%
8517.62.99,CONVERTIDOR DE SEÑAL,20,3,0,0,21%
8517.62.99,APTO TRANSMIISOR TV,20,3,0,0,21%
8517.62.99,CONSOLA STREAMING,20,3,0,0,21%
8517.62.99,SMART WATCH,20,3,0,0,21%
8517.62.99,APTO TRAN,20,3,0,0,21%
8517.62.99,CONMUTADOR DE RED,20,3,0,0,21%
8517.62.99,SWITCH DE ETHERNET,20,3,0,0,21%
8517.62.99,MODULOS TRANSCEPTORES USADOS,35,3,0,0,21%
8517.62.99,TRANCEPTORES,20,3,0,0,21%
8517.62.99,SWITCHER,20,3,0,0,21%
8517.62.99,AIRTAG LOCALIZADOR,20,3,0,0,21%
8517.62.77,EMISOR RECEPTOR,0,3,0,0,"10,50%"
8517.62.72,apar de em y trans las demas,16,3,0,0,"10,50%"
8517.62.72,SMARTWATCH,0,0,0,0,"10,50%"
8517.62.72,apar de em y trans inf = 8M 1,16,3,0,0,"10,50%"
8517.62.72,AURICULAR INALAMBRICO BT,0,0,0,0,"10,50%"
8517.62.72,apar de em y trans inf = 8M,16,3,0,0,"10,50%"
8517.62.55,FUENTE DE ALIMENTACION,16,3,0,0,"10,50%"
8517.62.55,MODEM,0,3,0,0,"10,50%"
8517.62.54,HUB,2,3,0,0,"10,50%"
8517.62.54,SWITCH HUB,2,3,0,0,"10,50%"
8517.62.49,LOS DEMAS ROUTER,0,0,0,0,"10,50%"
8517.62.41,ROUTER,0,0,0,0,"10,50%"
8517.62.41,REPETIDOR SENAL WIFI,16,3,0,0,21%
8517.62.41,ROUTER INALAMBRICO,0,0,0,0,"10,50%"
8517.62.41,KIT ROUTER Y REPETIDORES (3 UNID),0,0,0,0,"10,50%"
8517.62.34,LOS DEMAS APARATOS DE CONMUTACION USADOS,0,0,0,0,"10,50%"
8517.61.92,ACCESS POINT,2,3,0,0,"10,50%"
8517.18.10,VIDEO PORTERO,20,3,0,0,21%
8517.18.10,PORTERO ELECTRICO,20,3,0,0,21%
8517.18.10,INTERCOMUNICADOR,20,3,0,0,21%
8517.14.39,Los demás teléfonos celulares (móvile,10.8,0,0,0,21%
8517.13.00,TELEFONO INTELIGENTE,0,0,9.5,0,21%
8517.12.31,TELEFONO CELULAR,16,0,17,0,21%
8517.12.31,TELEFONO CELULAR REFURBISHED,32,0,17,0,
8517.12.31,TABLET CON SLOT TELEFONO,16,3,17,0,21%
8517.12.19,APTO TRANSMISOR TV,12,3,0,0,"10,50%"
8517.12.19,ACC P/TELEFONO,12,3,0,0,"10,50%"
8517.12.19,APARATO RECEPTOR EMISOR,12,3,0,0,"10,50%"
8517.12.11,WALKIE TALKIE,0,0,0,0,"10,50%"
8516.90.00,PARTE DE APARATO ELECTRICO,16,3,0,0,21%
8516.90.00,REPUESTO CAFETERA,16,3,0,0,21%
8516.79.90.900C,SAUNA PORTATIL,20,3,0,0,21%
8516.79.90,APARATO DE COCCION ELECTRICO,20,3,0,0,21%
8516.79.90,CABLE CALEFACTOR,35,3,0,0,21%
8516.79.10,CACEROLA ELECTRICA,20,3,0,0,21%
8516.72.00,TOSTADORA,20,3,0,0,21%
8516.71.00,PAVA ELECTRICA,35,3,0,0,21%
8516.71.00,CAFETERA DOMESTICA,35,3,0,0,21%
8516.60.00,HORNOS,35,3,0,0,21%
8516.60.00,ANAFE,35,3,0,0,21%
8516.50.00,MICROONDAS,20,3,0,0,21%
8516.40.00,PLANCHA A VAPOR,20,3,0,0,21%
8516.33.00.000M,Aparatos para secar las manos,20,3,0,0,21%
8516.32.00.900Z,CEPILLO DE PELO ELECTRICO,20,3,0,0,21%
8516.32.00,PLANCHITAS PARA CABELLO,20,3,0,0,21%
8516.32.00,MOLDEADOR DE CABELLO,20,3,0,0,21%
8516.31.00.000N,SECADOR DE PELO Y ALISADOR,35,3,0,0,21%
